z_m,T_liq_C,visc_cP,U_W_m2K,w_meoh,w_dbe,w_bio,m_evap_seg_kg_s,power_seg_W,power_cum_W,m_liq_kg_s
0.0,110.0,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,3.633548048472634,0.1388888888888889
0.06,150.71504079052374,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,7.267096096945268,0.1388888888888889
0.12,170.70864974887235,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,10.900644145417903,0.1388888888888889
0.18,180.5267511536091,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,14.534192193890537,0.1388888888888889
0.24,184.0,0.5,1500.0,0.05,0.44999999999999996,0.5,0.0,3.633548048472634,18.16774024236317,0.1388888888888889
0.3,184.0,0.5,1500.0,0.05,0.44999999999999996,0.5,0.001413716694115407,3.633548048472634,21.801288290835803,0.13747517219477348
0.36,185.3985468599908,0.5,1500.0,0.04177325376475999,0.453085029838215,0.505141716397025,0.0,3.633548048472634,25.434836339308436,0.13747517219477348
0.42,185.3985468599908,0.5,1500.0,0.04177325376475999,0.453085029838215,0.505141716397025,0.0010841918535367937,3.633548048472634,29.06838438778107,0.1363909803412367
0.48,186.49074800716858,0.5,1500.0,0.035348541134302684,0.45549429707463646,0.5091571617910609,0.0,3.633548048472634,32.701932436253706,0.1363909803412367
0.54,186.49074800716858,0.5,1500.0,0.035348541134302684,0.45549429707463646,0.5091571617910609,0.0008268480210205905,3.633548048472634,36.33548048472634,0.1355641323202161
0.6,187.335446372138,0.5,1500.0,0.030379727222717694,0.4573576022914808,0.5122626704858014,0.00012841084958629912,3.633548048472634,39.96902853319897,0.1354357214706298
0.6599999999999999,187.467554673049,0.5,1500.0,0.02960261957030039,0.4576490176611374,0.5127483627685623,0.0005336475590271909,3.633548048472634,43.602576581671606,0.13490207391160264
0.72,188.0192624263599,0.5,1500.0,0.026357279844941604,0.45886602005814686,0.5147767000969116,0.00026749301259073043,3.633548048472634,47.23612463014424,0.13463458089901187
0.78,188.29745376529434,0.5,1500.0,0.024720860204151405,0.4594796774234432,0.5157994623724055,0.00033686831559621034,3.633548048472634,50.86967267861687,0.13429771258341566
0.84,188.6128118927914,0.5,1500.0,0.02265075500003605,0.46025596687498643,0.5170932781249775,0.000259980088526316,3.633548048472634,54.503220727089506,0.13403773249488934
0.8999999999999999,188.83912524478842,0.5,1500.0,0.0210460253022588,0.4608577405116529,0.5180962341860883,0.00022573340238985347,3.633548048472634,58.13676877556214,0.1338119990924995
0.96,189.03583582499118,0.5,1500.0,0.0196476260376027,0.46138214023589896,0.5189702337264983,0.0001857838836046911,3.633548048472634,61.77031682403477,0.1336262152088948
1.02,189.19921014013113,0.5,1500.0,0.018493166274195137,0.4618150626471768,0.5196917710786281,0.0001544055270313481,3.633548048472634,65.40386487250741,0.13347180968186345
1.08,189.33512273431046,0.5,1500.0,0.017531245916648307,0.46217578278125687,0.5202929713020948,0.00012821333255024704,3.633548048472634,69.03741292098005,0.1333435963493132
1.14,189.44813350571394,0.5,1500.0,0.016730805579600744,0.46247594790764973,0.5207932465127496,0.00010642713939001917,3.633548048472634,72.67096096945268,0.13323716920992318
1.2,189.54205176748218,0.5,1500.0,0.016065207104116293,0.4627255473359564,0.5212092455599274,8.831913486547867e-05,3.633548048472634,76.30450901792531,0.1331488500750577
1.26,189.62006728644417,0.5,1500.0,0.01551204874487197,0.462932981720673,0.521554969534455,7.327592143251996e-05,3.633548048472634,79.93805706639795,0.1330755741536252
1.3199999999999998,189.68484779886705,0.5,1500.0,0.015052551395779455,0.46310529322658267,0.5218421553776379,6.078385701693938e-05,3.633548048472634,83.57160511487058,0.13301479029660826
1.38,189.73862124936903,0.5,1500.0,0.014671004905953418,0.4632483731602674,0.5220806219337791,5.0413773848002943e-05,3.633548048472634,87.20515316334321,0.13296437652276025
1.44,189.78324592237658,0.5,1500.0,0.014354287841212832,0.46336714205954516,0.5222785700992421,4.18076111290758e-05,3.633548048472634,90.83870121181585,0.13292256891163118
1.5,189.82027010340607,0.5,1500.0,0.014091455492562993,0.4634657041902889,0.5224428403171482,3.466697882800129e-05,3.633548048472634,94.47224926028848,0.13288790193280317
1.56,189.85098262977198,0.5,1500.0,0.013873388810847768,0.4635474791959321,0.5225791319932201,2.8743448568334806e-05,3.633548048472634,98.10579730876111,0.13285915848423482
1.6199999999999999,189.87645556196094,0.5,1500.0,0.013692496785642118,0.46361531370538417,0.5226921895089737,2.3830349551587505e-05,3.633548048472634,101.73934535723374,0.13283532813468327
1.68,189.89758008927748,0.5,1500.0,0.01354246516066652,0.4636715755647501,0.5227859592745835,1.9755860694211347e-05,3.633548048472634,105.37289340570638,0.13281557227398902
1.74,189.9150966626172,0.5,1500.0,0.013418044972190278,0.4637182331354286,0.5228637218923811,1.6377210558386007e-05,3.633548048472634,109.00644145417901,0.13279919506343066
1.7999999999999998,189.9296202273249,0.5,1500.0,0.013314875078575393,0.4637569218455342,0.5229282030758904,1.3575818565254006e-05,3.633548048472634,112.63998950265164,0.1327856192448654
1.8599999999999999,189.9416613149084,0.5,1500.0,0.013229333545412572,0.4637889999204703,0.5229816665341172,1.1253232355954151e-05,3.633548048472634,116.27353755112428,0.13277436601250944
1.92,189.951643647109,0.5,1500.0,0.013158413419630366,0.46381559496763863,0.5230259916127311,9.327736073593047e-06,3.633548048472634,119.90708559959691,0.13276503827643585
1.98,189.95991881107625,0.5,1500.0,0.013099619044572259,0.4638376428582854,0.5230627380971424,7.731522355228812e-06,3.633548048472634,123.54063364806954,0.13275730675408065
2.04,189.9667784806125,0.5,1500.0,0.013050879625532655,0.46385592014042526,0.5230932002340422,6.408336807386794e-06,3.633548048472634,127.17418169654218,0.13275089841727328
2.1,189.97246458535398,0.5,1500.0,0.013010477248464391,0.46387107103182584,0.5231184517197097,5.311517717258133e-06,3.633548048472634,130.80772974501483,0.13274558689955598
2.16,189.97717776663234,0.5,1500.0,0.012976986984998096,0.46388362988062576,0.5231393831343762,4.402365844223959e-06,3.633548048472634,134.44127779348747,0.13274118453371175
2.2199999999999998,189.98108440468485,0.5,1500.0,0.012949227088653412,0.46389403984175503,0.5231567330695917,3.648789509365108e-06,3.633548048472634,138.07482584196012,0.13273753574420238
2.28,189.98432245584542,0.5,1500.0,0.012926217605601906,0.46390266839789934,0.5231711139964988,3.02417904046888e-06,3.633548048472634,141.70837389043277,0.13273451156516192
2.34,189.98700629935553,0.5,1500.0,0.012907145994472343,0.4639098202520729,0.5231830337534549,2.5064721242405397e-06,3.633548048472634,145.34192193890541,0.13273200509303767
2.4,189.98923076053603,0.5,1500.0,0.012891338579354225,0.46391574803274216,0.5231929133879036,2.0773779441055016e-06,3.633548048472634,148.97546998737806,0.13272992771509357
2.46,189.99107444939557,0.5,1500.0,0.012878236853918288,0.46392066117978065,0.5232011019663011,1.7217333053472066e-06,3.633548048472634,152.6090180358507,0.13272820598178822
2.52,189.99260253054695,0.5,1500.0,0.012867377817516954,0.4639247333184311,0.5232078888640519,1.4269684162158001e-06,3.633548048472634,156.24256608432336,0.13272677901337204
2.58,189.99386902088247,0.5,1500.0,0.012858377660797128,0.4639281083772011,0.5232135139620018,1.182663733701936e-06,3.633548048472634,159.876114132796,0.13272559634963832
2.6399999999999997,189.99491869523195,0.5,1500.0,0.012850918232744495,0.4639309056627208,0.5232181761045347,9.801824082655498e-07,3.633548048472634,163.50966218126865,0.13272461616723005
2.6999999999999997,189.99578866668958,0.5,1500.0,0.012844735816650632,0.46393322406875603,0.5232220401145934,8.123654704533389e-07,3.633548048472634,167.1432102297413,0.1327238038017596
2.76,189.99650969701418,0.5,1500.0,0.012839611822231013,0.4639351455666634,0.5232252426111056,6.73279076456429e-07,3.633548048472634,170.77675827821395,0.13272313052268314
2.82,189.9971072831138,0.5,1500.0,0.012835365067571306,0.4639367380996608,0.5232278968327679,5.580049401001778e-07,3.633548048472634,174.4103063266866,0.13272257251774305
2.88,189.99760255781263,0.5,1500.0,0.012831845379901698,0.4639380579825369,0.5232300966375615,4.6246658512951805e-07,3.633548048472634,178.04385437515924,0.13272211005115792
2.94,189.99801303660138,0.5,1500.0,0.012828928290220882,0.4639391518911672,0.523231919818612,3.832853039926734e-07,3.633548048472634,181.6774024236319,0.13272172676585392
